scenario_id,profile_id,attachment_size_kb,repeat,turn,turn_index,session_id,enriched_transcript_chars,attachments_total_chars,messages_in_window,anchors_count,summary_chars,tokens_in,tokens_out,cost_usd,latency_ms,cache_hit_kind,last_resolved_tier,latency_budget_passed,cost_budget_passed,memory_drift_passed
grow-t20,grow,5,1,16,16,482d710a-856d-4ef8-a7bc-4b04b8c55cf8,5215,5096,12,2,2000,12179,312,0.002014,12427,none,default,1,1,1
grow-t20,grow,5,1,17,17,482d710a-856d-4ef8-a7bc-4b04b8c55cf8,5222,5096,12,2,2002,13607,291,0.002216,17591,none,default,1,1,1
grow-t20,grow,5,1,18,18,482d710a-856d-4ef8-a7bc-4b04b8c55cf8,5242,5096,12,2,2062,13642,295,0.002223,12131,none,default,1,1,1
grow-t20,grow,5,1,19,19,482d710a-856d-4ef8-a7bc-4b04b8c55cf8,5241,5096,12,2,2175,13709,304,0.002239,17998,none,default,1,1,1
grow-t20,grow,5,1,20,20,482d710a-856d-4ef8-a7bc-4b04b8c55cf8,5248,5096,12,2,2369,13797,312,0.002257,14803,none,default,1,1,1
grow-t20,grow,5,2,1,1,80366315-c66d-4e14-9d4b-959b2bf65a62,5308,5096,2,0,0,3217,329,0.00068,5394,none,default,1,1,0
grow-t20,grow,5,2,2,2,80366315-c66d-4e14-9d4b-959b2bf65a62,5268,5096,4,0,0,4689,324,0.000898,6163,none,default,1,1,1
grow-t20,grow,5,2,3,3,80366315-c66d-4e14-9d4b-959b2bf65a62,5267,5096,6,0,0,6138,342,0.001126,6351,none,default,1,1,1
grow-t20,grow,5,2,4,4,80366315-c66d-4e14-9d4b-959b2bf65a62,5285,5096,8,0,0,7602,350,0.00135,7476,none,default,1,1,1
grow-t20,grow,5,2,5,5,80366315-c66d-4e14-9d4b-959b2bf65a62,5255,5096,10,0,0,9057,339,0.001562,7811,none,default,1,1,1
grow-t20,grow,5,2,6,6,80366315-c66d-4e14-9d4b-959b2bf65a62,5284,5096,12,0,0,10512,349,0.001786,16227,none,default,1,1,1
grow-t20,grow,5,2,7,7,80366315-c66d-4e14-9d4b-959b2bf65a62,5246,5096,12,0,846,11947,334,0.001992,5980,none,default,1,1,1
grow-t20,grow,5,2,8,8,80366315-c66d-4e14-9d4b-959b2bf65a62,5243,5096,12,0,903,12168,330,0.002023,20871,none,default,1,1,1
grow-t20,grow,5,2,9,9,80366315-c66d-4e14-9d4b-959b2bf65a62,5246,5096,12,0,896,12172,326,0.002021,14694,none,default,1,1,1
grow-t20,grow,5,2,10,10,80366315-c66d-4e14-9d4b-959b2bf65a62,5260,5096,12,0,1117,12252,323,0.002032,14037,none,executive,1,1,1
grow-t20,grow,5,2,11,11,80366315-c66d-4e14-9d4b-959b2bf65a62,5241,5096,12,0,1231,12258,301,0.002019,18163,none,executive,1,1,1
grow-t20,grow,5,2,12,12,80366315-c66d-4e14-9d4b-959b2bf65a62,5244,5096,12,0,1448,12128,316,0.002009,16546,none,default,1,1,1
grow-t20,grow,5,2,13,13,80366315-c66d-4e14-9d4b-959b2bf65a62,5258,5096,12,0,1614,12129,318,0.00201,13009,none,default,1,1,1
grow-t20,grow,5,2,14,14,80366315-c66d-4e14-9d4b-959b2bf65a62,5255,5096,12,0,1723,12151,318,0.002013,16456,none,default,1,1,1
grow-t20,grow,5,2,15,15,80366315-c66d-4e14-9d4b-959b2bf65a62,5225,5096,12,0,1856,12154,318,0.002014,5684,none,default,1,1,1
grow-t20,grow,5,2,16,16,80366315-c66d-4e14-9d4b-959b2bf65a62,5215,5096,12,2,1856,12169,319,0.002017,16897,none,default,1,1,1
grow-t20,grow,5,2,17,17,80366315-c66d-4e14-9d4b-959b2bf65a62,5222,5096,12,2,2062,13579,317,0.002227,5229,none,default,1,1,1
grow-t20,grow,5,2,18,18,80366315-c66d-4e14-9d4b-959b2bf65a62,5242,5096,12,2,2067,13633,313,0.002233,12674,none,default,1,1,1
grow-t20,grow,5,2,19,19,80366315-c66d-4e14-9d4b-959b2bf65a62,5241,5096,12,2,2248,13628,300,0.002224,13670,none,default,1,1,1
grow-t20,grow,5,2,20,20,80366315-c66d-4e14-9d4b-959b2bf65a62,5248,5096,12,2,2362,13640,297,0.002224,13620,none,default,1,1,1
grow-t20,grow,5,3,1,1,b2ffeca7-ad85-4f69-be18-1995fc8144eb,5308,5096,2,0,0,3217,285,0.000654,4306,none,default,1,1,0
grow-t20,grow,5,3,2,2,b2ffeca7-ad85-4f69-be18-1995fc8144eb,5268,5096,4,0,0,4629,297,0.000873,5392,none,default,1,1,1
grow-t20,grow,5,3,3,3,b2ffeca7-ad85-4f69-be18-1995fc8144eb,5267,5096,6,0,0,6045,313,0.001095,6172,none,default,1,1,1
grow-t20,grow,5,3,4,4,b2ffeca7-ad85-4f69-be18-1995fc8144eb,5285,5096,8,0,0,7475,335,0.001322,5670,none,default,1,1,1
grow-t20,grow,5,3,5,5,b2ffeca7-ad85-4f69-be18-1995fc8144eb,5255,5096,10,0,0,8941,317,0.001531,11755,none,default,1,1,1
grow-t20,grow,5,3,6,6,b2ffeca7-ad85-4f69-be18-1995fc8144eb,5284,5096,12,0,0,10385,329,0.001755,5379,none,default,1,1,1
grow-t20,grow,5,3,7,7,b2ffeca7-ad85-4f69-be18-1995fc8144eb,5246,5096,12,0,714,11846,318,0.001968,14131,none,default,1,1,1
grow-t20,grow,5,3,8,8,b2ffeca7-ad85-4f69-be18-1995fc8144eb,5243,5096,12,0,771,12045,297,0.001985,14588,none,default,1,1,1
grow-t20,grow,5,3,9,9,b2ffeca7-ad85-4f69-be18-1995fc8144eb,5246,5096,12,0,935,12108,295,0.001993,7585,none,default,1,1,1
grow-t20,grow,5,3,10,10,b2ffeca7-ad85-4f69-be18-1995fc8144eb,5260,5096,12,0,1055,12295,316,0.002034,5318,none,executive,1,1,1
grow-t20,grow,5,3,11,11,b2ffeca7-ad85-4f69-be18-1995fc8144eb,5241,5096,12,0,1159,12082,281,0.001981,6017,none,executive,1,1,1
grow-t20,grow,5,3,12,12,b2ffeca7-ad85-4f69-be18-1995fc8144eb,5244,5096,12,0,1280,11947,298,0.001971,13130,none,default,1,1,1
grow-t20,grow,5,3,13,13,b2ffeca7-ad85-4f69-be18-1995fc8144eb,5258,5096,12,0,1369,11937,304,0.001973,5993,none,default,1,1,1
grow-t20,grow,5,3,14,14,b2ffeca7-ad85-4f69-be18-1995fc8144eb,5255,5096,12,0,1179,11947,299,0.001971,14804,none,default,1,1,1
grow-t20,grow,5,3,15,15,b2ffeca7-ad85-4f69-be18-1995fc8144eb,5225,5096,12,0,1310,11904,303,0.001967,17203,none,default,1,1,1
grow-t20,grow,5,3,16,16,b2ffeca7-ad85-4f69-be18-1995fc8144eb,5215,5096,12,2,1310,11936,311,0.001977,10854,none,default,1,1,1
grow-t20,grow,5,3,17,17,b2ffeca7-ad85-4f69-be18-1995fc8144eb,5222,5096,12,2,1513,13328,295,0.002176,4266,none,default,1,1,1
grow-t20,grow,5,3,18,18,b2ffeca7-ad85-4f69-be18-1995fc8144eb,5242,5096,12,2,1664,13373,289,0.002179,5177,none,default,1,1,1
grow-t20,grow,5,3,19,19,b2ffeca7-ad85-4f69-be18-1995fc8144eb,5241,5096,12,2,1704,13394,298,0.002188,20324,none,default,1,1,1
grow-t20,grow,5,3,20,20,b2ffeca7-ad85-4f69-be18-1995fc8144eb,5248,5096,12,2,1854,13393,286,0.002181,4764,none,default,1,1,1
grow-t20,grow,20,1,1,1,a102ed22-3982-447a-969b-c1f56f5c283b,20312,20099,2,0,0,6225,300,0.001114,4399,none,default,1,1,0
grow-t20,grow,20,1,2,2,a102ed22-3982-447a-969b-c1f56f5c283b,20272,20099,4,0,0,10688,292,0.001778,13878,none,default,1,1,1
grow-t20,grow,20,1,3,3,a102ed22-3982-447a-969b-c1f56f5c283b,20271,20099,6,0,0,15113,299,0.002446,20322,none,default,1,1,1
grow-t20,grow,20,1,4,4,a102ed22-3982-447a-969b-c1f56f5c283b,20289,20099,8,0,0,19553,309,0.003118,14142,none,default,1,1,1
grow-t20,grow,20,1,5,5,a102ed22-3982-447a-969b-c1f56f5c283b,20259,20099,10,0,0,24007,288,0.003774,13873,none,default,1,1,1
